principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion
ACETATO DE MEDROXIPROGESTERONA,mg,10,TABLETA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETATO DE NOMEGESTROL,mg,2.5,TABLETA RECUBIERTA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETATO DE ULIPRISTAL,mg,5,TABLETA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETAZOLAMIDA,mg,250,TABLETA,>1000 mg DIA DU,"somnolencia, sedación, fatiga, mareo, desorientación, ataxia, parestesias de extremidades y boca. Raras: dermatitis, depresión de médula ósea, cálculos renales",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ACETILCISTEINA,mg,600,TABLETA EFERVESCENTE,SDTE,"náusea y vómito cuando se administra por vía oral; rubor, eritema, angioedema, hipotensión y broncoespasmo (reacción anafilactoide)",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACETONIDO DE TRIAMCINOLONA,mcg,55,DOSIS (INHALACIÓN),SDTE,"cefalea. Sensación de calor nasal moderado, transitorio, escozor, congestión nasal, estornudos, sequedad, epistaxis, infecciones micóticas nasofaríngeas y garganta, disfonía, irritación de garganta. Boca seca, infecciones bucales por hongos. Reacciones de hipersensibilidad (urticaria, rash). Angioedema, broncoespasmo, supresión de eje H-H-S, insuficiencia suprarrenal, edema facial, jadeos",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACICLOVIR,mg,200,TABLETA RECUBIERTA,SDTE/DOSIS MAX 4 g DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ÁCIDO ACETIL SALICILICO,mg,100,TABLETA,> 200 mg /kg,"ALTERACIONES DEL EQUILIBRIO ÁCIDO-BASE Y DESBALANCE HIDROELECTROLÍTICO: alcalosis respiratoria (hiperventilacion), hiponatremia, hipokalemia, deshidratación, acidosis metabolíca (desacople de la fosforilacion oxidativa) SÍNTOMAS TGI: nauseas, hematemesis, vómitos, melena EPIS: taquipnea, hiperpnea, hipoxia, edema pulmonar EFECTOS SOBRE EL SNC: intranquilidad, convulsiones, delirio, coma, edema cerebral. TRASTORNOS RENALES: oliguria, hematuria, proteinuria, trastornos cardiovasculares, hipotensión arterial, MANIFESTACIONES HEMORRÁGICAS: dosis altas: hipotrombinemia por disminución del factor vii DOSIS BAJAS: disminución de la adhesividad plaquetaria",BICARBONATO DE SODIO,PENDIENTE_VALIDACION
ACIDO ALFA LIPOICO,mg,600,TABLETA RECUBIERTA,SDTE,"CEFALEA, PARESTESIA EN PIEL, RASH, MIALGIAS, HIPOGLUCEMIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO ALGINICO,mg,200,TABLETA,> 2400 MG DIA/SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO ASCORBICO,mg,500,CÁPSULA DURA,SDTE,"(>2000 mg al día) se han descrito síntomas leves como gastritis, dolor abdominal o diarrea. A dosis >4000 mg al día se puede producir uricosuria y litiasis renal",AZUL DE METILENO,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO CARGLUMICO,mg,200,TABLETA DISPERSABLE,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO CITRICO,g,1,1 TABLETA EFERVESCENTE,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ÁCIDO CLAVULÁNICO,mg,125,TABLETA CON PELÍCULA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO COLICO,mg,50,CAPSULAS,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO DECOSA HEXAENOICO,mg,300,CAPSULA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ÁCIDO FENOFIBRICO,mg,135,CAPSULA BLANDA DE GELATINA,SDTE,MIOSITIS Y SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ÁCIDO FOLICO,mg,0.4,TABLETA RECUBIERTA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO IBANDRONICO,mg,150,TABLETAS RECUBIERTAS,SDTE,"hipocalcemia; diarrea, dispepsia, dolor abdominal; alteración cutánea; artralgia, mialgia, dolor musculoesquelético, calambres musculares, rigidez musculoesquelética, dolor de espalda; enf. pseudogripal. Además por vía oral, esofagitis, gastritis, reflujo gastroesofágico, náuseas, estreñimiento; fatiga. Además por vía IV, infección; alteraciones paratiroideas; mareos, disgeusia; cataratas; bloqueo de rama; faringitis; vómitos, alteración dental; equimosis, artrosis, alteración articular; pirexia, edema periférico, astenia, sed; aumento de la Gamma-GT, aumento de la creatinina",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO MEFENAMICO,mg,500,TABLETA CUBIERTA,SDTE,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO OROTICO ANHIDRO,mg,150,CAPSULA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO PIPEMIDICO,mg,400,TABLETA,SDTE,"anorexia, náusea, vómito, dolor abdominal, diarrea, cefalea, vértigo, astenia. Poco frecuentes: erupción cutánea, prurito, reacciones de fotosensibilidad. Raras: trombocitopenia, leucopenia, anemia hemolítica, hipertensión intracraneal.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO TIOCTICO,mg,600,TABLETA RECUBIERTA,SDTE,"Reacciones de hipersensibilidad CEFALEA OPRESIVA y dificultad respiratoria, las cuales pueden reaparecer espontáneamente; trastornos del sistema nervioso",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO TOLFENAMICO,mg,200,CÁPSULADURA,SDTE,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO TRANEXAMICO,mg,500,TABLETAS,SDTE/DOSIS MAXIMA 100 MG/KG/DIA,"Náuseas, vómitos, diarreas; ASTENIA con hipotensión, con o sin pérdida de la conciencia, Trombosis venosa o arterial en cualquier localización; convulsiones; reacciones de hipersensibilidad incluyendo anafilaxis",RECAMBIO PLASMATICO,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO URSODESOXICOLICO,mg,250,CÁPSULA DURA,SDTE/DOSIS MAXIMA 15MG/KG/DIA,"Frecuentes: náusea, vómito, diarrea, indigestión, estreñimiento, prurito, dol...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ACIDO VALPROICO,mg,250,1 CÁPSULA BLANDA,>50 MG/KG- SNC:>200 MG/KG-FALLA MO >400 MG/KG,"Disminución global de la función del SNC y depresión respiratoria, falla hepá...",MEDIDAS GENERALES/HEMOPERFUSION,PENDIENTE_VALIDACION
ÁCIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE ÁCIDO EIC...,mg,1000,CAPSULA BLANDA DE GELATINA CON CUBIERTA ENTERICA,>3 g DIA,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
AFATINIB,mg,40,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
AGOMELATINA,mg,25,TABLETARECUBIERTA,SDTE,"Cefalea, mareo, somnolencia, insomnio, migraña; náuseas, diarrea, estreñimien...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ALBENDAZOL,mg,200,TABLETA RECUBIERTA,>800 MG/DIA,"Elevación leve a moderada de enzimas hepáticas, dolor abdominal, náuseas, vóm...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ALENDRONATO,mg,70,CAPSULA BLANDA,>70 MG DIA,"Cefalea; dolor abdominal, dispepsia, estreñimiento, diarrea, flatulencia, úlc...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ALFAMETILDOPA,mg,250,TABLETARECUBIERTA,VARIA/>3000 mg/dia,"Sedación, mareos, aturdimiento y síntomas de insuficiencia cerebrovascular, h...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ALIZAPRIDA,mg,50,TABLETA,SDTE/DOSIS MAX 100MG/DIA,"Agitación, somnolencia, astenia, sedación, xerostomía",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ALOPURINOL,mg,100,TABLETA,SDTE/DOSIS MAX 80mg/DIA,Erupción cutánea (rash); aumento de TSH (hormona estimulante del tiroides); f...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ALPRAZOLAM,mg,1,POR TABLETA,SDTE/DOSIS MAX 4MG/DIA,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,SIN_DOSIS_TOXICA_ESPECIFICA
AMANTADINA CLORHIDRATO,mg,100,CÁPSULA DURA,SDTE/DOSIS MAX 200MG/DIA,"Edema en piernas; somnolencia, insomnio, depresión, estados de agitación, vér...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
AMBRISENTAN,mg,10,TABLETA,SDTE/DOSIS MAX 10MG/DIA,"Anemia; reacciones de hipersensibilidad; cefalea, mareo; visión borrosa, alte...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
AMIODARONA CLORHIDRATO,mg,200,TABLETA,>1.5-5 g/DIA,"Bradicardia; hipo o hipertiroidismo; micro-depósitos cornéales; náuseas, vómi...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
AMISULPRIDA,mg,200,TABLETA,SDTE/DOSIS MAX 1200 MG/DIA,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,SIN_DOSIS_TOXICA_ESPECIFICA
AMITRIPTILINA,mg,25,TABLETA RECUBIERTA.,10-20 mg/Kg,"confusión, somnolencia, alucinaciones, convulsiones, taquicardia, hipotensión...",BICARBONATO DE SODIO+LIDOCAINA CUANDO HAY IMPACTACION DEL QRS Y ARRITMIAS,PENDIENTE_VALIDACION
AMLODIPINO,mg,5,TABLETA RECUBIERTA,"≥ 0,2 mg/kg o ≥ 10 mg","Cefalea, HIPOTENSION, somnolencia, mareo, (inicio del tto.); debilidad; palp...",GLUCONATO DE CALCIO,PENDIENTE_VALIDACION
AMOXICILINA,g,1,TABLETAS,300-500 mg/kg,"Diarrea, náuseas; erupciones cutáneas. Además se ha identificado reacción a m...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
AMPICILINA,mg,200,TABLETA,>14 G/DIA,"Náuseas, vómitos, diarrea, erupción eritematosa maculopapular (> incidencia c...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ANAGRALIDA,mg,0.5,CADA CÁPSULA DURA,>60MG/KG/DIA,"dolor de cabeza en aproximadamente un 14%, palpitaciones en aproximadamente u...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ANASTRAZOL,mg,1,TABLETA RECUBIERTA,>45MG/KG/DIA,"Anorexia, hipercolesterolemia; depresión, cefalea, somnolencia, síndrome del ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
APIXABAN,mg,5,TABLETA RECUBIERTA,>10 MG/DIA,"Hemorragias, hematomas. Además en prevención del TEV: anemia, náuseas. Además...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
APREMILAST,mg,20,TABLETA,>60 MG/DIA,"Bronquitis, infección del tracto respiratorio superior, nasofaringitis; dismi...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ARIPIPRAZOL,mg,15,TABLETAS,1 mg/kg o 5 veces su dosis terapéutica,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,PENDIENTE_VALIDACION
ARTEMETER,mg,20,COMPRIMIDORECUBIERTO,SDTE,"Disminución del apetito; trastornos del sueño; cefalea, vértigo; palpitacione...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ASCORBATO DE SODIO,mg,477928,CAPSULA DE GELATINA BLANDA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ATAZANAVIR,mg,300,TABLETAS,SDTE-DTER. 300MG/DIA,"Dolor de cabeza; ictericia ocular; vómitos, diarrea, dolor abdominal, náuseas...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ATENOLOL,mg,100,TABLETA,500-1.000 mg,"Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
ATORVASTATINA,mg,20,TABLETA,VARIA->60-70MG/KG,"Nasofaringitis; dolor faringolaríngeo, epistaxis; estreñimiento, flatulencia,...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
AVANAFIL,mg,100,TABLETA RECUBIERTA,SDTE-DMax 300MG/DIA,Cefaleas; rubefacción; congestión nasal.,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
AXITINIB,mg,5,TABLETA RECUBIERTA,>10MG/DIA,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
AZATIOPRINA,mg,50,TABLETA,>7MG/KG/DIA,"Depresión médula ósea, leucopenia, trombocitopenia, anemia; náuseas, pancreat...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
AZITROMICINA,mg,500,TABLETA,>2g/DIA,"Anorexia; mareo, cefalea, parestesia, disgeusia; alteración visual; sordera; ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BACLOFENO,mg,10,CADA TABLETA,"≥ 2,5 mg/kg o ≥ 200 mg","Sedación, somnolencia, depresión respiratoria, estado de confusión, mareo, al...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BARICITINIB,mg,2,CADA TABLETA CONTIENE,SDTE->40MG/DIA,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BELATACEPT,mg,250,POR VIAL,DOSIS SEMANAL> 50 mg/kg,"Infecciones del tracto urinario y de vías respiratorias altas, infección por ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BENCIDAMINA,mg,3,TABLETA,>300 MG,"no es probable que se produzcan cuadros de intoxicación. No obstante, si util...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BENOXINATO,mg,0.2,TABLETA MASTICABLE,SDTE,"no es probable que se produzcan cuadros de intoxicación. No obstante, si util...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BENZNIDAZOL,mg,100,COMPRIMIDO,>400 MG/DIA,"Fiebre, reaccion de hipersensibilidad, malestar estomacal, náuseas y otros ma...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BENZOCAINA,mg,10,TABLETA,>2MG/KG,reacciones de hipersensibilidad local,MEDIDAS GENERALES,PENDIENTE_VALIDACION
BETAHISTINA CLORHIDRATO,mg,8,TABLETA,>120MG/KG,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (cUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
BICALUTAMIDA,mg,50,TABLETA RECUBIERTA,SDTE,"Anemia; mareos; dolor abdominal, estreñimiento, náuseas; sofoco; hematuria; e...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BICARBONATO DE SODIO,g,1976,1 TABLETA EFERVESCENTE,>140MG/KG,"HTA, edema, alcalosis metabólica. Síndrome leche-álcali, si se ingiere elevad...",ACIDO ASCORBICO,PENDIENTE_VALIDACION
BICTEGRAVIR,mg,50,POR CADA TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BILASTINA,mg,20,CADA TABLETA,SDTE,"Ads. y adolescentes 12-17 años: somnolencia, cefalea; niños 2-11 años: riniti...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BIPERIDENO CLORHIDRATO,mg,2,TABLETA,SDTE-DMax 20MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA,SIN_DOSIS_TOXICA_ESPECIFICA
BISACODILO,mg,5,TABLETA CON RECUBRIMIENTO ENTERICO,SDTE,Dolor abdominal y diarrea.,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BISOPROLOL FUMARATO,mg,5,TABLETA CUBIERTA,DOSIS MAX 10MG/DIA-DT >20MG/DIA,"Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
BOSENTAN,mg,125,TABLETA RECUBIERTA,SDTE-DMax 250MG/DIA,"Anemia, descenso de hemoglobina; reacciones de hipersensibilidad (incluida de...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BOSUTINIB,mg,100,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BOSUTINIB,mg,500,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BRIGATINIB,mg,30,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BRIVARACETAM,mg,25,COMPRIMIDO RECUBIERTO,>150MG/DIA-1400 MG/DU,"Gripe; disminución del apetito; depresión, ansiedad, insomnio, irritabilidad;...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BROMAZEPAM,mg,3,TABLETA,">0,7MG/KG","HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,PENDIENTE_VALIDACION
BROMHEXINA,mg,8,CAPSULA BLANDA,>10G/KG,"Vía oral: vómitos, diarrea, náuseas y dolor en parte superior del abdomen.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
BROMOPRIDA,mg,5,TABLETA,SDTE,"Insomnio, Dolor de cabeza, Mareo, Síntomas extra piramidales*, Movimientos in...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BUCLIZINA,mg,25,CADA TABLETARECUBIERTA,>50MG/DIA,Se ha informado de casos de somnolencia. Otros efectos menos frecuentes inclu...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
BUDESONIDA,mg,3,CÁPSULA DURA,"SDTE-DMax 4,8-5.6 MG/DIA","Irritación leve de garganta y de mucosa oral, disfonía, dificultad para traga...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
BUPROPION,mg,150,TABLETA DE LIBERACION PROLONGADA,6MG/KG,"Reacciones de hipersensibilidad tales como urticaria; anorexia; insomnio, agi...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CABERGOLINA,mg,0.5,TABLETA,>3MG/DIA,Valvulopatías (incluyendo regurgitación) y trastornos relacionados (pericardi...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
CABOTEGRAVIR,mg,30,TABLETAS RCUBIERTAS,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CABOZANTINIB,mg,20,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CAFEINA,mg,65,TABLETA RECUBIERTA,> O = 1200 MG,"Insomnio, agitación, excitación; náuseas, vómitos, diarrea, gastralgia, cefal...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CALCITRIOL,mcg,0.25,CAPSULA BLANDA,SDTE,HIPERCALCEMIA,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
CANDESARTAN,mg,16,TABLETA,SDTE-DMax 32MG/DIA,"Infección respiratoria; mareo/vértigo, cefalea; hiperpotasemia; hipotensión; ...","INOTROPICOS, SI HAY ALT DEL SNC NALOXONA",SIN_DOSIS_TOXICA_ESPECIFICA
CAPECITABINA,mg,150,CADA TABLETA CONTIENE,>2.5g/M2 dia,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
CAPTOPRIL,mg,50,TABLETA,>3.5 mg/kg,"Anorexia; trastornos del sueño; alteración del gusto; mareos, cefalea, parest...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
CARBAMAZEPINA,mg,400,TABLETA DE LIBERACIÓN PROLONGADA,30MG/KG/DIA,"tríada: coma, síndrome anticolinérgico y alteraciones del movimiento. supresi...",BICARBONATO DE SODIO+BIPERIDENO,PENDIENTE_VALIDACION
