med_id,generic_name,normalized_name,renal_audit_status,audit_priority,renal_rules_published,renal_rules_pending,renal_rules_automatic,renal_biblio_published,renal_biblio_verified,renal_clinical_class,existing_review_priority,phase6_status,disposition,next_action
MED-0016,ACETONIDO DE TRIAMCINOLONA,ACETONIDO DE TRIAMCINOLONA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0018,ÁCIDO ACETIL SALICILICO,ACIDO ACETIL SALICILICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0019,ACIDO ALFA LIPOICO,ACIDO ALFA LIPOICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0020,ACIDO ALGINICO,ACIDO ALGINICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0021,ACIDO ASCORBICO,ACIDO ASCORBICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0022,ACIDO CARGLUMICO,ACIDO CARGLUMICO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0023,ACIDO CITRICO,ACIDO CITRICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0024,ÁCIDO CLAVULÁNICO,ACIDO CLAVULANICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0025,ACIDO COLICO,ACIDO COLICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0026,ACIDO DECOSA HEXAENOICO,ACIDO DECOSA HEXAENOICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0027,ÁCIDO FENOFIBRICO,ACIDO FENOFIBRICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0028,ÁCIDO FOLICO,ACIDO FOLICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0030,ACIDO MEFENAMICO,ACIDO MEFENAMICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0031,ACIDO OROTICO ANHIDRO,ACIDO OROTICO ANHIDRO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0032,ACIDO PIPEMIDICO,ACIDO PIPEMIDICO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0034,ACIDO TOLFENAMICO,ACIDO TOLFENAMICO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0035,ACIDO TRANEXAMICO,ACIDO TRANEXAMICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0036,ACIDO URSODESOXICOLICO,ACIDO URSODESOXICOLICO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0038,ÁCIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE ÁCIDO EIC...,ACIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE ACIDO EIC...,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0039,AFATINIB,AFATINIB,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0040,AGOMELATINA,AGOMELATINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0041,ALBENDAZOL,ALBENDAZOL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0044,ALIZAPRIDA,ALIZAPRIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0046,ALPRAZOLAM,ALPRAZOLAM,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0049,AMIODARONA,AMIODARONA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0050,AMISULPRIDA,AMISULPRIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0051,AMITRIPTILINA,AMITRIPTILINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0055,ANAGRALIDA,ANAGRALIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0060,ARTEMETER,ARTEMETER,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0061,ASCORBATO DE SODIO,ASCORBATO DE SODIO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0065,AVANAFIL,AVANAFIL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0066,AXITINIB,AXITINIB,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0067,AZATIOPRINA,AZATIOPRINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0071,BELATACEPT,BELATACEPT,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0072,BENCIDAMINA,BENCIDAMINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0073,BENOXINATO,BENOXINATO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0074,BENZNIDAZOL,BENZNIDAZOL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0075,BENZOCAINA,BENZOCAINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0076,BETAHISTINA CLORHIDRATO,BETAHISTINA CLORHIDRATO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0078,BICARBONATO DE SODIO,BICARBONATO DE SODIO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0079,BICTEGRAVIR,BICTEGRAVIR,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0080,BILASTINA,BILASTINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0081,BIPERIDENO CLORHIDRATO,BIPERIDENO CLORHIDRATO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0082,BISACODILO,BISACODILO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0083,BISOPROLOL FUMARATO,BISOPROLOL FUMARATO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0085,BOSUTINIB,BOSUTINIB,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0088,BRIVARACETAM,BRIVARACETAM,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0089,BROMAZEPAM,BROMAZEPAM,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0090,BROMHEXINA,BROMHEXINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0091,BROMOPRIDA,BROMOPRIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0092,BUCLIZINA,BUCLIZINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0093,BUDESONIDA,BUDESONIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0097,CABOZANTINIB,CABOZANTINIB,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0099,CALCITRIOL,CALCITRIOL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0100,CANDESARTAN,CANDESARTAN,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0101,CAPECITABINA,CAPECITABINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0102,CAPTOPRIL,CAPTOPRIL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0103,CARBAMAZEPINA,CARBAMAZEPINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0104,CARBIDOPA,CARBIDOPA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0105,CARBON ACTIVADO,CARBON ACTIVADO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0106,CARBONATO DE CALCIO,CARBONATO DE CALCIO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0111,CEFDITOREN,CEFDITOREN,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0113,CEFRADINA,CEFRADINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0114,CEFTIBUTENO,CEFTIBUTENO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0116,CELECOXIB,CELECOXIB,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0117,CETILPIRIDINIO,CETILPIRIDINIO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0118,CETIRIZINA,CETIRIZINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0119,CIANOCOBALAMINA,CIANOCOBALAMINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0120,CICLOBENZAPRINA,CICLOBENZAPRINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0121,CICLOFOSFAMIDA,CICLOFOSFAMIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0122,CICLONAMINA (ETAMSILATO),CICLONAMINA (ETAMSILATO),NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0124,CILOSTAZOL,CILOSTAZOL,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0126,CINARIZINA,CINARIZINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0127,CINITAPRIDA,CINITAPRIDA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0128,CIPROFIBRATO,CIPROFIBRATO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0132,CITICOLINA SODICA,CITICOLINA SODICA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0133,CITRATO DE ALVERINA,CITRATO DE ALVERINA,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0134,CITRATO DE POTASIO,CITRATO DE POTASIO,NO_RENAL_CONTENT,1,0,0,0,0,0,NO_LOCALIZADO_GOODMAN_REQUIERE_OTRA_FUENTE,5.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0137,CLEMASTINA,CLEMASTINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0139,CLOBAZAM,CLOBAZAM,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0140,CLOMIFENO,CLOMIFENO,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SENAL_RENAL_REQUIERE_FICHA_ACTUAL,2.0,PENDING_CURRENT_LABEL,REQUIERE_FICHA_GUIA_ACTUAL,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
MED-0141,CLOMIPRAMINA,CLOMIPRAMINA,NO_RENAL_CONTENT,1,0,0,0,0,0,GOODMAN_SIN_SENAL_RENAL_ESPECIFICA,4.0,,,REVISAR DESDE CERO: NO HAY CONTENIDO RENAL
