rule_id,med_id,principio_activo,indicacion,poblacion,via,metrica_renal,rango,limite_inferior,limite_superior,inferior_inclusivo,superior_inclusivo,regimen_ajustado,tipo_regla,notas,fuente,url_fuente,fecha_revision,estado,automatizable
REN-0015,MED-0054,AMPICILINA,ITU / infecciones donde se usa régimen 2 g,Adulto,IV,CrCl_CG_mL_min,>50,50,,NO,NO,2 g IV q6h,REGIMEN,La indicación y dosis de base deben corresponder al régimen seleccionado; meningitis/endocarditis requieren revisión específica.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0016,MED-0054,AMPICILINA,ITU / infecciones donde se usa régimen 2 g,Adulto,IV,CrCl_CG_mL_min,30–50,30,50,SI,SI,2 g IV q8h,REGIMEN,La indicación y dosis de base deben corresponder al régimen seleccionado; meningitis/endocarditis requieren revisión específica.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0017,MED-0054,AMPICILINA,ITU / infecciones donde se usa régimen 2 g,Adulto,IV,CrCl_CG_mL_min,15–<30,15,30,SI,NO,2 g IV q12h,REGIMEN,La indicación y dosis de base deben corresponder al régimen seleccionado; meningitis/endocarditis requieren revisión específica.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0018,MED-0054,AMPICILINA,ITU / infecciones donde se usa régimen 2 g,Adulto,IV,CrCl_CG_mL_min,<15,,15,SI,NO,2 g IV q24h,REGIMEN,La indicación y dosis de base deben corresponder al régimen seleccionado; meningitis/endocarditis requieren revisión específica.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0019,MED-0109,CEFADROXILO,Adulto – esquema de ficha técnica,Adulto,PO,CrCl_mL_min_1_73m2,>50,50,,NO,NO,Dosis habitual,REGIMEN,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
REN-0020,MED-0109,CEFADROXILO,Adulto – esquema de ficha técnica,Adulto,PO,CrCl_mL_min_1_73m2,25–50,25,50,SI,SI,"Carga 1000 mg, luego 500 mg q12h",REGIMEN,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
REN-0021,MED-0109,CEFADROXILO,Adulto – esquema de ficha técnica,Adulto,PO,CrCl_mL_min_1_73m2,10–<25,10,25,SI,NO,"Carga 1000 mg, luego 500 mg q24h",REGIMEN,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
REN-0022,MED-0109,CEFADROXILO,Adulto – esquema de ficha técnica,Adulto,PO,CrCl_mL_min_1_73m2,0–<10,0,10,SI,NO,"Carga 1000 mg, luego 500 mg q36h",REGIMEN,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
REN-0023,MED-0115,CEFUROXIMA,Todas las indicaciones – cefuroxima axetilo,Adulto,PO,CrCl_CG_mL_min,>30,30,,NO,NO,500 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0024,MED-0115,CEFUROXIMA,Todas las indicaciones – cefuroxima axetilo,Adulto,PO,CrCl_CG_mL_min,10–30,10,30,SI,SI,250 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0025,MED-0115,CEFUROXIMA,Todas las indicaciones – cefuroxima axetilo,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,250 mg PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0026,MED-0110,CEFALEXINA,Mayoría de indicaciones,Adulto,PO,CrCl_CG_mL_min,>50,50,,NO,NO,500 mg PO QID o 1000 mg PO TID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0027,MED-0110,CEFALEXINA,Mayoría de indicaciones,Adulto,PO,CrCl_CG_mL_min,30–50,30,50,SI,SI,250–500 mg PO TID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0028,MED-0110,CEFALEXINA,Mayoría de indicaciones,Adulto,PO,CrCl_CG_mL_min,15–<30,15,30,SI,NO,250–500 mg PO BID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0029,MED-0110,CEFALEXINA,Cistitis no complicada / faringitis estreptocócica,Adulto,PO,CrCl_CG_mL_min,>50,50,,NO,NO,500 mg PO BID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0030,MED-0110,CEFALEXINA,Cistitis no complicada / faringitis estreptocócica,Adulto,PO,CrCl_CG_mL_min,30–50,30,50,SI,SI,250 mg PO BID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0031,MED-0110,CEFALEXINA,Cistitis no complicada / faringitis estreptocócica,Adulto,PO,CrCl_CG_mL_min,15–<30,15,30,SI,NO,250 mg PO q24h,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0032,MED-0110,CEFALEXINA,Bacteriemia gramnegativa,Adulto,PO,CrCl_CG_mL_min,>50,50,,NO,NO,1000 mg PO QID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0033,MED-0110,CEFALEXINA,Bacteriemia gramnegativa,Adulto,PO,CrCl_CG_mL_min,30–50,30,50,SI,SI,1000 mg PO TID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0034,MED-0110,CEFALEXINA,Bacteriemia gramnegativa,Adulto,PO,CrCl_CG_mL_min,15–<30,15,30,SI,NO,1000 mg PO BID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0035,MED-0110,CEFALEXINA,Bacteriemia gramnegativa,Adulto,PO,CrCl_CG_mL_min,<15,,15,SI,NO,500 mg PO TID,REGIMEN,"Para “mayoría de indicaciones” y “cistitis/faringitis”, la tabla UCSF recuperada no especifica <15 mL/min; la app no extrapola.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0036,MED-0112,CEFPODOXIME,Profilaxis en neutropenia febril seleccionada,Adulto,PO,CrCl_CG_mL_min,≥30,30,,SI,NO,200 mg PO q12h,REGIMEN,Indicación UCSF específica; no generalizar a todas las infecciones.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0037,MED-0112,CEFPODOXIME,Profilaxis en neutropenia febril seleccionada,Adulto,PO,CrCl_CG_mL_min,<30,,30,SI,NO,200 mg PO q24h,REGIMEN,Indicación UCSF específica; no generalizar a todas las infecciones.,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0038,MED-0129,CIPROFLOXACINA,Dosis estándar,Adulto,IV/PO,CrCl_CG_mL_min,>50,50,,NO,NO,400 mg IV q12h o 500 mg PO BID,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0039,MED-0129,CIPROFLOXACINA,Dosis estándar,Adulto,IV/PO,CrCl_CG_mL_min,30–50,30,50,SI,SI,400 mg IV q12h o 500 mg PO BID,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0040,MED-0129,CIPROFLOXACINA,Dosis estándar,Adulto,IV/PO,CrCl_CG_mL_min,<30,,30,SI,NO,400 mg IV q24h o 500 mg PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0041,MED-0129,CIPROFLOXACINA,Pseudomonas / bacteriemia GN / infección de hardware seleccionada,Adulto,IV/PO,CrCl_CG_mL_min,>50,50,,NO,NO,400 mg IV q8h o 750 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0042,MED-0129,CIPROFLOXACINA,Pseudomonas / bacteriemia GN / infección de hardware seleccionada,Adulto,IV/PO,CrCl_CG_mL_min,30–50,30,50,SI,SI,400 mg IV q12h o 500 mg PO q12h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0043,MED-0129,CIPROFLOXACINA,Pseudomonas / bacteriemia GN / infección de hardware seleccionada,Adulto,IV/PO,CrCl_CG_mL_min,<30,,30,SI,NO,400 mg IV q24h o 500 mg PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0044,MED-0138,CLINDAMICINA,Todas las indicaciones habituales,Adulto,IV/PO,CrCl_CG_mL_min,Cualquier función renal,,,SI,NO,No requiere ajuste renal,NO_AJUSTE,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0045,MED-0342,LEVOFLOXACINA,ITU,Adulto,IV/PO,CrCl_CG_mL_min,>50,50,,NO,NO,500 mg IV/PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0046,MED-0342,LEVOFLOXACINA,ITU,Adulto,IV/PO,CrCl_CG_mL_min,20–50,20,50,SI,SI,"500 mg x1, luego 250 mg IV/PO q24h",REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0047,MED-0342,LEVOFLOXACINA,ITU,Adulto,IV/PO,CrCl_CG_mL_min,<20,,20,SI,NO,"500 mg x1, luego 250 mg IV/PO q48h",REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0048,MED-0342,LEVOFLOXACINA,Otras indicaciones,Adulto,IV/PO,CrCl_CG_mL_min,>50,50,,NO,NO,750 mg IV/PO q24h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0049,MED-0342,LEVOFLOXACINA,Otras indicaciones,Adulto,IV/PO,CrCl_CG_mL_min,20–50,20,50,SI,SI,750 mg IV/PO q48h,REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0050,MED-0342,LEVOFLOXACINA,Otras indicaciones,Adulto,IV/PO,CrCl_CG_mL_min,<20,,20,SI,NO,"750 mg x1, luego 500 mg IV/PO q48h",REGIMEN,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0051,MED-0349,LINEZOLID,Todas las indicaciones,Adulto,IV/PO,CrCl_CG_mL_min,Cualquier función renal,,,SI,NO,600 mg IV/PO q12h; no requiere ajuste renal de rutina,NO_AJUSTE,"UCSF: en paciente estable con CrCl <30 y curso >10 días, algunos expertos consideran 300 mg BID tras 72 h para reducir trombocitopenia; requiere TDM/ID-farmacia.","UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0052,MED-0597,VALACICLOVIR,HSV genital/orolabial – episodio inicial o tratamiento recurrente en VIH,Adulto,PO,CrCl_CG_mL_min,≥50,50,,SI,NO,1000 mg PO q12h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0053,MED-0597,VALACICLOVIR,HSV genital/orolabial – episodio inicial o tratamiento recurrente en VIH,Adulto,PO,CrCl_CG_mL_min,30–<50,30,50,SI,NO,1000 mg PO q12h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0054,MED-0597,VALACICLOVIR,HSV genital/orolabial – episodio inicial o tratamiento recurrente en VIH,Adulto,PO,CrCl_CG_mL_min,10–<30,10,30,SI,NO,1000 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0055,MED-0597,VALACICLOVIR,HSV genital/orolabial – episodio inicial o tratamiento recurrente en VIH,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,500 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0056,MED-0597,VALACICLOVIR,Supresión HSV / episodio recurrente,Adulto,PO,CrCl_CG_mL_min,≥50,50,,SI,NO,500 mg PO q12h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0057,MED-0597,VALACICLOVIR,Supresión HSV / episodio recurrente,Adulto,PO,CrCl_CG_mL_min,30–<50,30,50,SI,NO,500 mg PO q12h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0058,MED-0597,VALACICLOVIR,Supresión HSV / episodio recurrente,Adulto,PO,CrCl_CG_mL_min,10–<30,10,30,SI,NO,500 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0059,MED-0597,VALACICLOVIR,Supresión HSV / episodio recurrente,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,500 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0060,MED-0597,VALACICLOVIR,Varicela primaria / herpes zóster,Adulto,PO,CrCl_CG_mL_min,≥50,50,,SI,NO,1000 mg PO q8h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0061,MED-0597,VALACICLOVIR,Varicela primaria / herpes zóster,Adulto,PO,CrCl_CG_mL_min,30–<50,30,50,SI,NO,1000 mg PO q12h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0062,MED-0597,VALACICLOVIR,Varicela primaria / herpes zóster,Adulto,PO,CrCl_CG_mL_min,10–<30,10,30,SI,NO,1000 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0063,MED-0597,VALACICLOVIR,Varicela primaria / herpes zóster,Adulto,PO,CrCl_CG_mL_min,<10,,10,SI,NO,500 mg PO q24h,REGIMEN,Estas reglas son para adultos. DailyMed indica que no hay datos pediátricos para CrCl <50 mL/min/1.73m².,DailyMed – Valacyclovir prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26634bf1-c6d8-4d48-9a4e-845c47df07f8,2026-09-02,VALIDADO,SI
REN-0064,MED-0612,VORICONAZOL,Todas las indicaciones,Adulto,PO/IV,CrCl_CG_mL_min,≥50,50,,SI,NO,No requiere ajuste renal de dosis; vía IV permitida según función renal,NO_AJUSTE,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
REN-0065,MED-0612,VORICONAZOL,Todas las indicaciones,Adulto,PO preferida,CrCl_CG_mL_min,<50,,50,SI,NO,No requiere ajuste renal de dosis; evitar formulación IV,FORMULACION,,"UCSF IDMP – Adult Antimicrobial Dosing, Non-dialysis",https://idmp.ucsf.edu/adult-antimicrobial-dosing-non-dialysis,2026-09-02,VALIDADO,SI
